1	100	1	\N
1	101	2	1001
1	102	3	1002
1	103	4	\N
1	104	5	\N
1	105	6	\N
1	106	7	\N
1	107	8	\N
1	108	9	\N
1	109	10	\N
1	110	11	1003
1	111	12	\N
1	112	13	\N
1	113	14	\N
1	114	15	\N
2	115	16	\N
2	116	17	\N
2	117	18	\N
2	118	19	\N
2	119	20	\N
2	120	2	1004
2	121	22	1004
2	121	23	\N
2	122	24	\N
2	123	25	\N
2	124	26	\N
2	125	27	\N
2	126	28	1005
2	127	2	1006
2	128	30	1007
2	129	31	\N
2	130	32	\N
2	131	33	\N
2	132	34	\N
2	133	35	\N
2	134	36	\N
2	135	37	\N
2	136	38	\N
3	137	39	\N
3	138	40	\N
3	200	41	\N
3	201	2	2000
3	202	2	2000
